bin_start,bin_end,count
1.0000,1.0000,1
1.0000,1.0000,3
1.0000,1.0000,7
1.0000,1.0000,5
1.0000,1.0000,9
1.0000,1.0000,19
1.0000,1.0000,32
1.0000,1.0000,43
1.0000,1.0000,19
1.0000,1.0000,0
1.0000,1.0000,292
1.0000,1.0000,0
1.0000,1.0000,0
1.0000,1.0000,27
1.0000,1.0000,16
1.0000,1.0000,14
1.0000,1.0000,5
1.0000,1.0000,2
1.0000,1.0000,1
1.0000,1.0000,3
