utt_id,condition,mbr_wer,greedy_wer,n_unique,oracle_in_set
1686-142278-0090,flat_sampling,0.0,0.0,16,True
1686-142278-0091,flat_sampling,0.631579,0.631579,16,False
1686-142278-0092,flat_sampling,0.0,0.0,7,True
1686-142278-0093,flat_sampling,0.411765,0.411765,16,False
1686-142278-0094,flat_sampling,0.5,0.5,16,False
1686-142278-0095,flat_sampling,0.222222,0.222222,16,False
1686-142278-0096,flat_sampling,0.419355,0.419355,16,False
1686-142278-0097,flat_sampling,0.15,0.15,16,False
1686-142278-0098,flat_sampling,0.090909,0.0,16,True
4570-56594-0000,flat_sampling,0.1,0.2,16,False
4570-56594-0001,flat_sampling,0.066667,0.066667,16,False
4570-56594-0002,flat_sampling,0.0,0.0,16,True
4570-56594-0003,flat_sampling,0.0,0.0,6,True
4570-56594-0004,flat_sampling,0.142857,0.214286,16,False
4570-56594-0005,flat_sampling,0.05,0.05,16,False
4570-56594-0006,flat_sampling,0.3125,0.3125,16,False
4570-56594-0007,flat_sampling,0.0,0.0,16,True
4570-56594-0008,flat_sampling,0.136364,0.181818,16,False
4570-56594-0009,flat_sampling,0.038462,0.038462,16,True
4570-56594-0010,flat_sampling,0.421053,0.421053,16,False
4570-56594-0011,flat_sampling,0.545455,0.545455,16,False
4570-56594-0012,flat_sampling,0.428571,0.428571,16,False
4570-56594-0013,flat_sampling,0.4375,0.4375,16,False
4570-56594-0014,flat_sampling,0.103448,0.103448,16,False
4570-56594-0015,flat_sampling,0.181818,0.181818,16,False
4570-56594-0016,flat_sampling,0.5,0.5,16,False
4570-56594-0017,flat_sampling,0.052632,0.052632,16,False
4570-56594-0018,flat_sampling,0.125,0.0,16,True
4570-24733-0000,flat_sampling,0.0,0.0,16,True
4570-24733-0001,flat_sampling,0.0,0.0,16,True
4570-24733-0002,flat_sampling,0.0,0.0,7,True
4570-24733-0003,flat_sampling,0.0,0.0,1,True
4570-24733-0004,flat_sampling,0.0,0.0,16,True
4570-24733-0005,flat_sampling,0.016949,0.016949,16,False
4570-24733-0006,flat_sampling,0.0,0.0,16,True
4570-24733-0007,flat_sampling,0.052632,0.078947,16,False
4570-24733-0008,flat_sampling,0.0,0.0,16,True
4570-14911-0000,flat_sampling,0.0,0.0,16,True
4570-14911-0001,flat_sampling,0.0,0.0,16,True
4570-14911-0002,flat_sampling,0.130435,0.217391,16,False
4570-14911-0003,flat_sampling,0.034483,0.034483,16,False
4570-14911-0004,flat_sampling,0.096774,0.096774,16,False
4570-14911-0005,flat_sampling,0.0,0.0,16,True
4570-14911-0006,flat_sampling,0.043478,0.043478,16,False
4570-14911-0007,flat_sampling,0.105263,0.105263,16,False
4570-14911-0008,flat_sampling,0.0,0.0,15,True
4570-14911-0009,flat_sampling,0.463415,0.463415,16,False
4570-14911-0010,flat_sampling,0.0,0.0,16,True
4570-14911-0011,flat_sampling,0.0,0.0,13,True
4570-14911-0012,flat_sampling,0.2,0.2,16,False
4570-14911-0013,flat_sampling,0.0,0.2,16,True
4570-14911-0014,flat_sampling,0.25,0.1875,16,False
4570-14911-0015,flat_sampling,0.0,0.0,11,True
4570-14911-0016,flat_sampling,0.083333,0.0,12,True
4570-14911-0017,flat_sampling,0.2,0.0,16,True
4570-102353-0000,flat_sampling,0.615385,0.615385,16,False
4570-102353-0001,flat_sampling,0.0,0.0,16,True
4570-102353-0002,flat_sampling,0.0,0.0,16,True
4570-102353-0003,flat_sampling,0.052632,0.052632,16,False
4570-102353-0004,flat_sampling,0.038462,0.038462,16,False
4570-102353-0005,flat_sampling,0.095238,0.095238,16,False
4570-102353-0006,flat_sampling,0.0,0.0,16,True
4570-102353-0007,flat_sampling,0.022727,0.022727,16,False
4570-102353-0008,flat_sampling,0.138889,0.138889,16,False
6599-38591-0000,flat_sampling,0.043478,0.043478,16,False
6599-38591-0001,flat_sampling,0.157895,0.157895,16,False
6599-38591-0002,flat_sampling,0.111111,0.111111,16,False
6599-38591-0003,flat_sampling,0.166667,0.333333,16,False
6599-38591-0004,flat_sampling,0.263158,0.263158,16,False
6599-38591-0005,flat_sampling,0.285714,0.285714,16,False
6599-38591-0006,flat_sampling,0.195652,0.173913,16,False
6599-38591-0007,flat_sampling,0.153846,0.230769,16,False
6599-38591-0008,flat_sampling,0.0,0.0,16,True
6599-38591-0009,flat_sampling,0.0,0.0,16,True
6599-38591-0010,flat_sampling,0.0,0.125,16,True
6599-38591-0011,flat_sampling,0.0,0.0,16,True
6599-38591-0012,flat_sampling,0.0625,0.0625,16,False
6599-38591-0013,flat_sampling,0.0,0.0,16,True
6599-38590-0000,flat_sampling,0.04,0.08,16,False
6599-38590-0001,flat_sampling,0.090909,0.090909,16,False
6599-38590-0002,flat_sampling,0.0,0.0,16,True
6599-38590-0003,flat_sampling,0.139535,0.139535,16,False
6599-38590-0004,flat_sampling,0.0,0.0,16,True
6599-38590-0005,flat_sampling,0.227273,0.227273,16,False
6599-38590-0006,flat_sampling,0.0,0.0,1,True
6599-38590-0007,flat_sampling,0.181818,0.0,8,True
6599-38590-0008,flat_sampling,0.122449,0.122449,16,False
6599-38590-0009,flat_sampling,0.0,0.0,16,True
1585-131718-0000,flat_sampling,0.204545,0.204545,16,False
1585-131718-0001,flat_sampling,0.571429,0.571429,16,False
1585-131718-0002,flat_sampling,0.25,0.25,16,False
1585-131718-0003,flat_sampling,0.358974,0.358974,16,False
1585-131718-0004,flat_sampling,0.5625,0.4375,16,False
1585-131718-0005,flat_sampling,0.676471,0.676471,16,False
1585-131718-0006,flat_sampling,0.416667,0.416667,16,False
1585-131718-0007,flat_sampling,0.5625,0.5625,16,False
1585-131718-0008,flat_sampling,0.285714,0.257143,16,False
1585-131718-0009,flat_sampling,0.395833,0.395833,16,False
1585-131718-0010,flat_sampling,0.346154,0.346154,16,False
1585-131718-0011,flat_sampling,0.12766,0.12766,16,False
1585-131718-0012,flat_sampling,0.393939,0.393939,16,False
1585-131718-0013,flat_sampling,0.307692,0.384615,16,False
1585-131718-0014,flat_sampling,0.375,0.375,16,False
1585-131718-0015,flat_sampling,0.214286,0.214286,16,False
1585-131718-0016,flat_sampling,0.133333,0.133333,16,False
1585-131718-0017,flat_sampling,0.23913,0.195652,16,False
1585-131718-0018,flat_sampling,0.2,0.266667,16,False
1585-131718-0019,flat_sampling,0.818182,0.818182,16,False
1585-131718-0020,flat_sampling,0.176471,0.176471,16,False
1585-131718-0021,flat_sampling,0.65,0.65,16,False
1585-131718-0022,flat_sampling,1.0,1.0,16,False
1585-131718-0023,flat_sampling,0.705882,0.705882,16,False
1585-131718-0024,flat_sampling,0.346154,0.346154,16,False
1585-131718-0025,flat_sampling,0.115385,0.115385,16,False
1585-131718-0026,flat_sampling,0.071429,0.071429,16,False
1585-131718-0027,flat_sampling,0.1,0.1,16,True
1585-131718-0028,flat_sampling,0.35,0.35,16,False
1585-131718-0029,flat_sampling,0.461538,0.461538,16,False
1585-131718-0030,flat_sampling,0.404255,0.404255,16,False
1585-131718-0031,flat_sampling,0.484848,0.484848,16,False
1585-131718-0032,flat_sampling,0.066667,0.1,16,False
1585-131718-0033,flat_sampling,0.2,0.2,16,False
1585-131718-0034,flat_sampling,0.142857,0.142857,16,False
1585-131718-0035,flat_sampling,0.3125,0.3125,16,False
1585-131718-0036,flat_sampling,0.263158,0.263158,16,False
1585-131718-0037,flat_sampling,0.214286,0.178571,16,False
1585-131718-0038,flat_sampling,0.037037,0.037037,16,False
1585-131718-0039,flat_sampling,0.107143,0.107143,16,False
1585-131718-0040,flat_sampling,0.571429,0.571429,16,False
1585-131718-0041,flat_sampling,0.857143,0.857143,16,False
1585-131718-0042,flat_sampling,0.111111,0.111111,16,False
1585-131718-0043,flat_sampling,0.235294,0.235294,16,False
1585-131718-0044,flat_sampling,0.142857,0.142857,16,False
1585-131718-0045,flat_sampling,0.181818,0.181818,16,False
1585-131718-0046,flat_sampling,0.272727,0.272727,16,False
1585-131718-0047,flat_sampling,0.333333,0.333333,16,False
1585-131718-0048,flat_sampling,0.307692,0.307692,16,False
1585-131718-0049,flat_sampling,0.391304,0.391304,16,False
1585-131718-0050,flat_sampling,0.555556,0.555556,16,False
1585-131718-0051,flat_sampling,0.4,0.4,16,False
1585-131718-0052,flat_sampling,0.692308,0.692308,16,False
1585-131718-0053,flat_sampling,1.111111,1.111111,16,False
1585-131718-0054,flat_sampling,0.0,0.0,16,True
1585-157660-0000,flat_sampling,0.4,0.4,16,False
1585-157660-0001,flat_sampling,0.173913,0.173913,16,False
1585-157660-0002,flat_sampling,0.178571,0.178571,16,False
1585-157660-0003,flat_sampling,1.0,1.0,16,False
1585-157660-0004,flat_sampling,0.272727,0.272727,16,False
1585-157660-0005,flat_sampling,0.217391,0.217391,16,False
1585-157660-0006,flat_sampling,0.531915,0.531915,16,False
1585-157660-0007,flat_sampling,0.565217,0.565217,16,False
1585-157660-0008,flat_sampling,0.391304,0.391304,16,False
1585-157660-0009,flat_sampling,1.0,1.0,16,False
1585-157660-0010,flat_sampling,0.068966,0.068966,16,False
1585-157660-0011,flat_sampling,0.166667,0.166667,16,False
1585-157660-0012,flat_sampling,0.3125,0.3125,16,False
1585-157660-0013,flat_sampling,0.185185,0.185185,16,False
1585-157660-0014,flat_sampling,0.090909,0.045455,16,False
1585-157660-0015,flat_sampling,0.347826,0.304348,16,False
1585-157660-0016,flat_sampling,0.130435,0.130435,16,False
6467-97061-0000,flat_sampling,0.083333,0.083333,16,False
6467-97061-0001,flat_sampling,0.030303,0.0,16,True
6467-97061-0002,flat_sampling,0.117647,0.117647,16,False
6467-97061-0003,flat_sampling,0.074074,0.074074,16,False
6467-97061-0004,flat_sampling,0.102564,0.102564,16,False
6467-97061-0005,flat_sampling,0.428571,0.428571,16,False
6467-97061-0006,flat_sampling,0.583333,0.583333,16,False
6467-97061-0007,flat_sampling,0.363636,0.363636,16,False
6467-97061-0008,flat_sampling,0.1,0.075,16,False
6467-97061-0009,flat_sampling,0.272727,0.272727,16,False
6467-97061-0010,flat_sampling,0.97619,0.97619,16,False
6467-97061-0011,flat_sampling,0.125,0.166667,16,False
6467-97061-0012,flat_sampling,0.210526,0.157895,16,False
6467-97061-0013,flat_sampling,0.181818,0.090909,16,False
6467-97061-0014,flat_sampling,0.391304,0.26087,16,False
6467-97061-0015,flat_sampling,0.16,0.16,16,False
6467-97061-0016,flat_sampling,0.125,0.125,16,False
6467-97061-0017,flat_sampling,0.368421,0.368421,16,False
6467-97061-0018,flat_sampling,0.241379,0.241379,16,False
6467-97061-0019,flat_sampling,0.222222,0.222222,16,False
6467-97061-0020,flat_sampling,0.076923,0.076923,16,False
6467-97061-0021,flat_sampling,0.238095,0.190476,16,False
6467-97061-0022,flat_sampling,0.0,0.0,16,True
6467-97061-0023,flat_sampling,0.0,0.0,16,True
6467-97061-0024,flat_sampling,2.0,2.0,16,False
6467-94831-0000,flat_sampling,0.352941,0.352941,16,False
6467-94831-0001,flat_sampling,0.588235,0.588235,16,False
6467-94831-0002,flat_sampling,0.428571,0.428571,16,False
6467-94831-0003,flat_sampling,0.125,0.125,16,False
6467-94831-0004,flat_sampling,0.357143,0.428571,16,False
6467-94831-0005,flat_sampling,1.0,1.0,16,False
6467-94831-0006,flat_sampling,0.5,0.333333,16,False
6467-94831-0007,flat_sampling,0.692308,0.769231,16,False
6467-94831-0008,flat_sampling,0.066667,0.066667,16,False
6467-94831-0009,flat_sampling,0.0,0.0,16,True
6467-94831-0010,flat_sampling,0.2,0.2,16,False
6467-94831-0011,flat_sampling,0.428571,0.285714,16,False
6467-94831-0012,flat_sampling,0.058824,0.058824,16,False
6467-94831-0013,flat_sampling,0.105263,0.105263,16,False
6467-94831-0014,flat_sampling,0.928571,0.928571,16,False
6467-94831-0015,flat_sampling,0.0,0.0,16,True
6467-94831-0016,flat_sampling,0.083333,0.083333,16,True
6467-94831-0017,flat_sampling,0.125,0.25,16,False
6467-94831-0018,flat_sampling,0.1875,0.1875,16,False
6467-94831-0019,flat_sampling,0.166667,0.166667,16,True
6467-94831-0020,flat_sampling,0.076923,0.076923,16,True
6467-94831-0021,flat_sampling,0.75,0.75,16,False
6467-94831-0022,flat_sampling,0.5,0.5,16,False
6467-94831-0023,flat_sampling,0.444444,0.444444,16,False
6467-94831-0024,flat_sampling,0.375,0.375,16,False
6467-94831-0025,flat_sampling,0.0,0.0,16,True
6467-94831-0026,flat_sampling,0.125,0.125,16,False
6467-94831-0027,flat_sampling,0.4,0.5,16,False
6467-94831-0028,flat_sampling,0.5,0.5,16,False
6467-94831-0029,flat_sampling,0.142857,0.142857,16,False
6467-94831-0030,flat_sampling,0.083333,0.083333,16,True
6467-94831-0031,flat_sampling,0.1,0.1,16,False
6467-94831-0032,flat_sampling,0.142857,0.285714,16,False
6467-94831-0033,flat_sampling,0.666667,0.666667,16,False
6467-94831-0034,flat_sampling,0.615385,0.615385,16,False
6467-94831-0035,flat_sampling,0.333333,0.333333,16,False
6467-94831-0036,flat_sampling,0.0,0.0,16,True
6467-94831-0037,flat_sampling,0.454545,0.090909,16,False
6467-94831-0038,flat_sampling,0.333333,0.333333,16,False
6467-94831-0039,flat_sampling,0.166667,0.166667,16,True
6467-94831-0040,flat_sampling,0.3,0.3,16,False
6467-94831-0041,flat_sampling,0.5,0.5,16,False
6467-94831-0042,flat_sampling,0.571429,0.571429,16,False
6467-94831-0043,flat_sampling,0.142857,0.142857,16,False
6467-94831-0044,flat_sampling,0.166667,0.166667,16,False
6467-94831-0045,flat_sampling,0.125,0.0,16,True
6467-62797-0000,flat_sampling,0.0,0.090909,16,True
6467-62797-0001,flat_sampling,0.4,0.4,16,False
6467-62797-0002,flat_sampling,0.285714,0.285714,16,False
6467-62797-0003,flat_sampling,0.105263,0.105263,16,False
6467-62797-0004,flat_sampling,0.444444,0.444444,16,False
6467-62797-0005,flat_sampling,0.45,0.45,16,False
6467-62797-0006,flat_sampling,0.37037,0.37037,16,False
6467-62797-0007,flat_sampling,0.380282,0.380282,16,False
