G,n_recoverable,n_covered,n_not_covered,frac_covered,oracle_at_G_wer_recoverable
4,964,142,822,0.14730290456431536,10.17744238221497
8,964,227,737,0.2354771784232365,9.132163981235978
16,964,317,647,0.3288381742738589,8.209259636956965
32,964,344,620,0.35684647302904565,7.7146644911278806
64,964,445,519,0.4616182572614108,6.8529471751988575
128,964,964,0,1.0,5.675096879461554
