G,mean_unique,median_unique,p25_unique,p75_unique,min_unique,max_unique,ratio_mean,pct_fully_unique,pct_all_identical
4,3.9986033519553073,4.0,4.0,4.0,2,4,0.9996508379888268,99.89525139664805,0.0
8,7.975558659217877,8.0,8.0,8.0,2,8,0.9969448324022346,98.84776536312849,0.0
16,15.53491620111732,16.0,16.0,16.0,3,16,0.9709322625698324,89.87430167597765,0.0
32,31.85405027932961,32.0,32.0,32.0,4,32,0.9954390712290503,98.04469273743017,0.0
64,62.11627094972067,64.0,64.0,64.0,4,64,0.9705667335893855,90.7122905027933,0.0
128,113.73428770949721,128.0,115.75,128.0,5,128,0.888549122730447,71.92737430167597,0.0
